ts,bayId,T,RH,soil_theta,PPFD,CO2,ext_T,irrigation_liters,pump_on
2025-08-24 03:50:00,A1,22.37,69.31,0.3302,-53.1,388.0,27.23,0.0,0
2025-08-24 04:00:00,A1,22.67,73.79,0.3296,-20.8,394.4,27.0,0.0,0
2025-08-24 04:10:00,A1,22.84,74.6,0.3296,-12.3,401.0,26.78,0.0,0
2025-08-24 04:20:00,A1,21.87,72.63,0.3292,-15.7,380.8,26.56,0.0,0
2025-08-24 04:30:00,A1,22.57,77.01,0.3289,4.6,386.6,26.35,0.0,0
2025-08-24 04:40:00,A1,21.78,71.64,0.3282,-24.7,390.5,26.14,0.0,0
2025-08-24 04:50:00,A1,21.77,71.38,0.3279,33.6,387.1,25.95,0.0,0
2025-08-24 05:00:00,A1,21.4,74.94,0.3273,0.0,407.9,25.76,0.0,0
2025-08-24 05:10:00,A1,22.69,76.74,0.3262,-0.3,387.8,25.58,0.0,0
2025-08-24 05:20:00,A1,21.4,78.14,0.3257,-9.8,391.0,25.4,0.0,0
2025-08-24 05:30:00,A1,20.61,73.95,0.3245,4.7,397.8,25.24,0.0,0
2025-08-24 05:40:00,A1,21.58,77.1,0.3235,24.8,387.4,25.09,0.0,0
2025-08-24 05:50:00,A1,20.21,74.91,0.3231,-26.0,394.7,24.94,0.0,0
2025-08-24 06:00:00,A1,20.93,74.65,0.3226,-19.7,401.3,24.8,0.0,0
2025-08-24 06:10:00,A1,19.5,76.75,0.3214,34.5,397.1,24.68,0.0,0
2025-08-24 06:20:00,A1,19.77,76.25,0.3213,46.8,400.0,24.56,0.0,0
2025-08-24 06:30:00,A1,20.57,71.72,0.3209,105.9,397.5,24.46,0.0,0
2025-08-24 06:40:00,A1,20.8,77.73,0.3198,159.4,390.7,24.36,0.0,0
2025-08-24 06:50:00,A1,20.38,77.4,0.3182,242.7,406.5,24.28,0.0,0
2025-08-24 07:00:00,A1,20.14,73.24,0.3174,266.7,419.0,24.2,0.0,0
2025-08-24 07:10:00,A1,19.96,75.1,0.3164,306.5,406.3,24.14,0.0,0
2025-08-24 07:20:00,A1,19.2,75.08,0.3156,367.5,409.1,24.09,0.0,0
2025-08-24 07:30:00,A1,19.62,74.38,0.3146,378.6,414.1,24.05,0.0,0
2025-08-24 07:40:00,A1,19.75,72.49,0.3128,434.3,399.6,24.02,0.0,0
2025-08-24 07:50:00,A1,20.64,71.96,0.3116,458.7,424.6,24.01,0.0,0
2025-08-24 08:00:00,A1,20.21,72.94,0.3106,508.0,413.9,24.0,0.0,0
2025-08-24 08:10:00,A1,18.95,75.0,0.31,519.8,426.6,24.01,0.0,0
2025-08-24 08:20:00,A1,20.22,73.37,0.3087,500.4,408.9,24.02,0.0,0
2025-08-24 08:30:00,A1,19.82,71.16,0.3086,604.7,430.6,24.05,0.0,0
2025-08-24 08:40:00,A1,19.69,73.03,0.3066,685.5,423.6,24.09,0.0,0
2025-08-24 08:50:00,A1,20.51,65.36,0.3062,703.4,423.1,24.14,0.0,0
2025-08-24 09:00:00,A1,20.82,72.9,0.305,736.1,421.9,24.2,0.0,0
2025-08-24 09:10:00,A1,20.84,66.65,0.3043,774.4,419.3,24.28,0.0,0
2025-08-24 09:20:00,A1,19.86,68.92,0.3033,768.7,432.2,24.36,0.0,0
2025-08-24 09:30:00,A1,20.27,66.89,0.3028,799.3,425.0,24.46,0.0,0
2025-08-24 09:40:00,A1,20.76,66.01,0.3014,800.6,409.5,24.56,0.0,0
2025-08-24 09:50:00,A1,21.26,70.38,0.2997,833.9,417.6,24.68,0.0,0
2025-08-24 10:00:00,A1,20.52,66.56,0.2992,884.5,426.3,24.8,0.0,0
2025-08-24 10:10:00,A1,20.83,67.62,0.298,923.1,431.5,24.94,0.0,0
2025-08-24 10:20:00,A1,20.42,66.25,0.2969,902.1,429.8,25.09,0.0,0
2025-08-24 10:30:00,A1,20.52,66.69,0.2963,910.4,441.2,25.24,0.0,0
2025-08-24 10:40:00,A1,21.89,65.28,0.2945,939.7,417.1,25.4,0.0,0
2025-08-24 10:50:00,A1,22.39,61.94,0.2934,971.8,435.0,25.58,0.0,0
2025-08-24 11:00:00,A1,21.71,65.87,0.2919,922.6,420.5,25.76,0.0,0
2025-08-24 11:10:00,A1,22.55,62.26,0.2905,907.4,442.2,25.95,0.0,0
2025-08-24 11:20:00,A1,22.36,59.49,0.2891,968.3,436.5,26.14,0.0,0
2025-08-24 11:30:00,A1,21.96,61.1,0.287,954.8,441.6,26.35,0.0,0
2025-08-24 11:40:00,A1,22.78,64.31,0.2852,981.0,432.4,26.56,0.0,0
2025-08-24 11:50:00,A1,23.7,62.35,0.2844,994.6,450.5,26.78,0.0,0
2025-08-24 12:00:00,A1,22.98,59.3,0.2834,986.4,449.5,27.0,0.0,0
2025-08-24 12:10:00,A1,24.17,58.65,0.2818,1042.6,446.8,27.23,0.0,0
2025-08-24 12:20:00,A1,21.89,58.05,0.2806,1006.0,441.9,27.46,0.0,0
2025-08-24 12:30:00,A1,24.2,62.2,0.2875,1000.5,448.4,27.7,0.861,1
2025-08-24 12:40:00,A1,24.0,58.16,0.2867,1003.5,438.9,27.95,0.0,0
2025-08-24 12:50:00,A1,24.02,57.61,0.2858,942.1,452.1,28.2,0.0,0
2025-08-24 13:00:00,A1,24.5,58.18,0.2838,997.1,459.2,28.45,0.0,0
2025-08-24 13:10:00,A1,23.51,55.97,0.2832,951.4,455.2,28.7,0.0,0
2025-08-24 13:20:00,A1,24.83,54.35,0.2809,959.8,441.4,28.96,0.0,0
2025-08-24 13:30:00,A1,25.43,53.87,0.2801,891.7,450.6,29.22,0.0,0
2025-08-24 13:40:00,A1,26.36,53.52,0.2845,859.7,437.8,29.48,0.617,1
2025-08-24 13:50:00,A1,25.43,53.0,0.2828,911.5,453.2,29.74,0.0,0
2025-08-24 14:00:00,A1,25.51,53.96,0.2804,877.3,452.6,30.0,0.0,0
2025-08-24 14:10:00,A1,25.96,52.04,0.2848,816.3,434.3,30.26,0.615,1
2025-08-24 14:20:00,A1,27.07,52.86,0.2827,793.1,440.2,30.52,0.0,0
2025-08-24 14:30:00,A1,26.98,50.71,0.2815,827.1,447.5,30.78,0.0,0
2025-08-24 14:40:00,A1,26.72,50.52,0.2801,730.4,447.5,31.04,0.0,0
2025-08-24 14:50:00,A1,27.61,45.87,0.292,786.6,440.3,31.3,1.339,1
2025-08-24 15:00:00,A1,27.61,51.23,0.29,680.1,453.1,31.55,0.0,0
2025-08-24 15:10:00,A1,28.39,49.63,0.288,694.7,452.0,31.8,0.0,0
2025-08-24 15:20:00,A1,27.63,50.51,0.2874,632.9,448.3,32.05,0.0,0
2025-08-24 15:30:00,A1,28.1,42.31,0.2858,626.9,443.7,32.3,0.0,0
2025-08-24 15:40:00,A1,28.3,51.89,0.2843,557.3,457.9,32.54,0.0,0
2025-08-24 15:50:00,A1,27.89,47.07,0.2834,532.4,462.5,32.77,0.0,0
2025-08-24 16:00:00,A1,29.18,49.23,0.2826,501.2,445.1,33.0,0.0,0
2025-08-24 16:10:00,A1,29.38,44.62,0.2812,431.7,443.7,33.22,0.0,0
2025-08-24 16:20:00,A1,29.44,47.63,0.2796,444.8,452.1,33.44,0.0,0
2025-08-24 16:30:00,A1,29.51,44.03,0.2783,367.3,444.9,33.65,0.0,0
2025-08-24 16:40:00,A1,29.01,44.66,0.2923,335.2,446.1,33.86,1.664,1
2025-08-24 16:50:00,A1,29.8,49.52,0.2912,270.9,452.5,34.05,0.0,0
2025-08-24 17:00:00,A1,30.04,45.13,0.2902,181.9,430.7,34.24,0.0,0
2025-08-24 17:10:00,A1,29.94,45.79,0.2882,210.7,455.8,34.42,0.0,0
2025-08-24 17:20:00,A1,30.5,46.97,0.2856,246.0,445.2,34.6,0.0,0
2025-08-24 17:30:00,A1,31.0,46.12,0.2846,154.1,440.5,34.76,0.0,0
2025-08-24 17:40:00,A1,32.05,45.36,0.2834,86.6,442.3,34.91,0.0,0
2025-08-24 17:50:00,A1,31.17,45.74,0.282,35.7,441.8,35.06,0.0,0
2025-08-24 18:00:00,A1,31.35,49.81,0.2811,0.7,427.4,35.2,0.0,0
2025-08-24 18:10:00,A1,31.28,44.9,0.28,16.4,452.2,35.32,0.0,0
2025-08-24 18:20:00,A1,30.29,45.46,0.2956,-35.4,439.6,35.44,1.599,1
2025-08-24 18:30:00,A1,31.53,47.23,0.295,33.4,441.8,35.54,0.0,0
2025-08-24 18:40:00,A1,31.67,47.44,0.2938,21.5,444.8,35.64,0.0,0
2025-08-24 18:50:00,A1,33.2,47.73,0.2929,21.5,427.9,35.72,0.0,0
2025-08-24 19:00:00,A1,31.68,46.79,0.2916,13.2,438.8,35.8,0.0,0
2025-08-24 19:10:00,A1,32.04,43.41,0.2902,0.6,431.7,35.86,0.0,0
2025-08-24 19:20:00,A1,31.89,49.17,0.2891,20.2,439.5,35.91,0.0,0
2025-08-24 19:30:00,A1,31.25,43.85,0.2881,17.8,414.5,35.95,0.0,0
2025-08-24 19:40:00,A1,32.66,47.01,0.2872,-10.6,429.5,35.98,0.0,0
2025-08-24 19:50:00,A1,32.45,45.19,0.286,-17.2,424.2,35.99,0.0,0
2025-08-24 20:00:00,A1,32.47,46.88,0.284,3.1,431.2,36.0,0.0,0
2025-08-24 20:10:00,A1,31.45,48.01,0.2826,46.5,430.3,35.99,0.0,0
2025-08-24 20:20:00,A1,32.82,48.36,0.282,-37.2,419.5,35.98,0.0,0
2025-08-24 20:30:00,A1,31.11,48.94,0.2808,-44.0,418.2,35.95,0.0,0
2025-08-24 20:40:00,A1,32.26,51.74,0.3002,4.9,421.7,35.91,2.06,1
2025-08-24 20:50:00,A1,33.17,49.85,0.2983,1.5,414.1,35.86,0.0,0
2025-08-24 21:00:00,A1,31.2,48.91,0.2972,5.2,426.7,35.8,0.0,0
2025-08-24 21:10:00,A1,31.38,51.79,0.2959,7.3,415.7,35.72,0.0,0
2025-08-24 21:20:00,A1,31.7,52.74,0.2943,-6.7,394.1,35.64,0.0,0
2025-08-24 21:30:00,A1,31.24,48.41,0.2931,44.7,413.1,35.54,0.0,0
2025-08-24 21:40:00,A1,30.51,52.59,0.2924,-48.0,406.5,35.44,0.0,0
2025-08-24 21:50:00,A1,31.36,53.34,0.2914,-24.9,400.5,35.32,0.0,0
2025-08-24 22:00:00,A1,30.56,51.9,0.2905,-3.1,402.3,35.2,0.0,0
2025-08-24 22:10:00,A1,31.34,55.83,0.2904,-49.3,411.9,35.06,0.0,0
2025-08-24 22:20:00,A1,30.36,53.36,0.2892,-5.3,420.4,34.91,0.0,0
2025-08-24 22:30:00,A1,31.69,54.51,0.2883,49.8,411.0,34.76,0.0,0
2025-08-24 22:40:00,A1,30.13,54.52,0.287,0.6,402.5,34.6,0.0,0
2025-08-24 22:50:00,A1,30.23,55.52,0.2856,6.9,409.8,34.42,0.0,0
2025-08-24 23:00:00,A1,30.73,53.93,0.2843,-37.8,401.3,34.24,0.0,0
2025-08-24 23:10:00,A1,29.32,53.87,0.2831,-18.5,398.3,34.05,0.0,0
2025-08-24 23:20:00,A1,29.99,60.58,0.2823,-11.3,393.6,33.86,0.0,0
2025-08-24 23:30:00,A1,30.44,56.35,0.2824,-9.5,387.7,33.65,0.0,0
2025-08-24 23:40:00,A1,28.48,56.71,0.2811,38.4,397.6,33.44,0.0,0
2025-08-24 23:50:00,A1,29.33,55.04,0.2851,16.7,401.0,33.22,0.521,1
2025-08-25 00:00:00,A1,29.16,58.72,0.2841,-33.3,398.0,33.0,0.0,0
2025-08-25 00:10:00,A1,29.24,58.01,0.2834,7.4,394.6,32.77,0.0,0
2025-08-25 00:20:00,A1,27.79,64.59,0.2826,14.9,389.5,32.54,0.0,0
2025-08-25 00:30:00,A1,27.5,63.98,0.2823,34.2,401.1,32.3,0.0,0
2025-08-25 00:40:00,A1,28.37,61.23,0.2801,47.4,384.9,32.05,0.0,0
2025-08-25 00:50:00,A1,27.98,67.75,0.3009,-30.5,400.9,31.8,2.288,1
2025-08-25 01:00:00,A1,27.7,65.85,0.2998,-24.3,386.0,31.55,0.0,0
2025-08-25 01:10:00,A1,27.51,63.86,0.2994,-37.7,387.4,31.3,0.0,0
2025-08-25 01:20:00,A1,26.63,60.13,0.2978,-7.0,381.1,31.04,0.0,0
2025-08-25 01:30:00,A1,26.92,70.32,0.2954,14.0,388.3,30.78,0.0,0
2025-08-25 01:40:00,A1,26.7,63.56,0.2948,29.6,399.6,30.52,0.0,0
2025-08-25 01:50:00,A1,25.83,63.64,0.2941,-2.3,395.5,30.26,0.0,0
2025-08-25 02:00:00,A1,27.12,69.55,0.2927,-9.6,398.8,30.0,0.0,0
2025-08-25 02:10:00,A1,26.02,72.94,0.2913,4.6,394.9,29.74,0.0,0
2025-08-25 02:20:00,A1,24.76,71.37,0.2901,-25.1,381.6,29.48,0.0,0
2025-08-25 02:30:00,A1,25.61,70.26,0.2892,62.7,387.6,29.22,0.0,0
2025-08-25 02:40:00,A1,24.37,70.83,0.2882,-48.2,383.9,28.96,0.0,0
2025-08-25 02:50:00,A1,25.17,71.84,0.2876,5.5,400.7,28.7,0.0,0
2025-08-25 03:00:00,A1,25.14,72.12,0.2854,60.7,380.4,28.45,0.0,0
2025-08-25 03:10:00,A1,23.7,71.62,0.2842,0.2,397.2,28.2,0.0,0
2025-08-25 03:20:00,A1,24.53,71.7,0.2828,-5.7,397.3,27.95,0.0,0
2025-08-25 03:30:00,A1,23.95,71.78,0.282,-10.7,404.9,27.7,0.0,0
2025-08-25 03:40:00,A1,23.96,70.78,0.2809,-5.4,387.2,27.46,0.0,0
2025-08-25 03:50:00,A1,24.37,72.09,0.2805,41.2,396.4,27.23,0.0,0
2025-08-25 04:00:00,A1,22.85,69.6,0.2789,-66.4,409.3,27.0,0.0,0
2025-08-25 04:10:00,A1,22.32,73.11,0.292,46.0,386.4,26.78,1.4,1
2025-08-25 04:20:00,A1,22.02,71.62,0.2914,-42.7,379.5,26.56,0.0,0
2025-08-25 04:30:00,A1,21.86,71.65,0.2913,-8.0,377.2,26.35,0.0,0
2025-08-25 04:40:00,A1,22.1,74.46,0.2911,-12.9,398.5,26.14,0.0,0
2025-08-25 04:50:00,A1,22.15,77.09,0.2914,17.7,378.3,25.95,0.0,0
2025-08-25 05:00:00,A1,21.92,76.33,0.2918,-47.9,391.0,25.76,0.0,0
2025-08-25 05:10:00,A1,22.07,71.5,0.2906,13.9,398.2,25.58,0.0,0
2025-08-25 05:20:00,A1,21.41,72.79,0.2897,60.7,396.9,25.4,0.0,0
2025-08-25 05:30:00,A1,22.11,76.75,0.2903,-40.9,399.6,25.24,0.0,0
2025-08-25 05:40:00,A1,20.93,72.98,0.2896,5.7,398.8,25.09,0.0,0
2025-08-25 05:50:00,A1,22.57,74.54,0.2891,-19.9,408.1,24.94,0.0,0
2025-08-25 06:00:00,A1,21.18,76.1,0.2877,12.8,391.2,24.8,0.0,0
2025-08-25 06:10:00,A1,20.16,73.05,0.2871,44.2,394.3,24.68,0.0,0
2025-08-25 06:20:00,A1,19.92,75.15,0.2874,67.9,394.5,24.56,0.0,0
2025-08-25 06:30:00,A1,20.75,72.2,0.2873,145.2,408.4,24.46,0.0,0
2025-08-25 06:40:00,A1,20.23,73.57,0.2863,227.8,410.0,24.36,0.0,0
2025-08-25 06:50:00,A1,20.71,75.28,0.2853,210.7,407.5,24.28,0.0,0
2025-08-25 07:00:00,A1,20.49,71.3,0.284,280.4,414.5,24.2,0.0,0
2025-08-25 07:10:00,A1,20.1,75.19,0.2828,261.9,396.7,24.14,0.0,0
2025-08-25 07:20:00,A1,19.58,74.06,0.281,313.3,420.7,24.09,0.0,0
2025-08-25 07:30:00,A1,19.14,74.96,0.2802,396.9,420.7,24.05,0.0,0
2025-08-25 07:40:00,A1,19.75,74.04,0.28,467.1,415.6,24.02,0.0,0
2025-08-25 07:50:00,A1,20.52,76.03,0.3005,472.4,425.2,24.01,2.12,1
2025-08-25 08:00:00,A1,20.13,73.24,0.3003,490.6,399.0,24.0,0.0,0
2025-08-25 08:10:00,A1,19.26,71.79,0.299,537.3,409.3,24.01,0.0,0
2025-08-25 08:20:00,A1,20.13,72.53,0.2977,536.1,408.9,24.02,0.0,0
2025-08-25 08:30:00,A1,20.28,72.99,0.2958,626.9,421.9,24.05,0.0,0
2025-08-25 08:40:00,A1,19.56,71.59,0.2949,669.3,409.0,24.09,0.0,0
2025-08-25 08:50:00,A1,20.23,71.14,0.2924,662.0,424.8,24.14,0.0,0
2025-08-25 09:00:00,A1,20.24,69.2,0.2917,693.0,431.0,24.2,0.0,0
2025-08-25 09:10:00,A1,19.59,68.81,0.2906,745.3,426.9,24.28,0.0,0
2025-08-25 09:20:00,A1,20.58,66.84,0.2898,752.9,424.9,24.36,0.0,0
2025-08-25 09:30:00,A1,20.79,72.63,0.2892,791.4,416.0,24.46,0.0,0
2025-08-25 09:40:00,A1,21.21,66.12,0.2881,882.1,418.4,24.56,0.0,0
2025-08-25 09:50:00,A1,21.31,66.67,0.2877,836.0,436.5,24.68,0.0,0
2025-08-25 10:00:00,A1,19.98,66.06,0.2869,855.3,434.0,24.8,0.0,0
2025-08-25 10:10:00,A1,20.38,68.72,0.2854,867.6,428.7,24.94,0.0,0
2025-08-25 10:20:00,A1,21.39,65.75,0.284,928.6,426.9,25.09,0.0,0
2025-08-25 10:30:00,A1,21.55,68.24,0.2816,918.4,415.3,25.24,0.0,0
2025-08-25 10:40:00,A1,21.71,63.78,0.2897,920.2,424.1,25.4,0.988,1
2025-08-25 10:50:00,A1,23.89,65.07,0.2878,993.4,449.1,25.58,0.0,0
2025-08-25 11:00:00,A1,22.1,62.21,0.2858,1008.5,424.8,25.76,0.0,0
2025-08-25 11:10:00,A1,22.63,67.54,0.2835,958.3,437.6,25.95,0.0,0
2025-08-25 11:20:00,A1,22.72,60.23,0.2818,928.8,445.3,26.14,0.0,0
2025-08-25 11:30:00,A1,22.74,62.58,0.2814,1021.7,428.2,26.35,0.0,0
2025-08-25 11:40:00,A1,22.37,62.57,0.2801,975.7,440.8,26.56,0.0,0
2025-08-25 11:50:00,A1,23.23,61.48,0.2851,1022.8,447.8,26.78,0.599,1
2025-08-25 12:00:00,A1,22.54,59.63,0.2833,940.9,441.3,27.0,0.0,0
2025-08-25 12:10:00,A1,23.09,59.09,0.2811,1025.8,465.1,27.23,0.0,0
2025-08-25 12:20:00,A1,23.17,58.78,0.2938,959.9,429.6,27.46,1.482,1
2025-08-25 12:30:00,A1,23.75,57.75,0.2918,1013.4,452.3,27.7,0.0,0
2025-08-25 12:40:00,A1,25.34,59.32,0.2899,985.2,443.2,27.95,0.0,0
2025-08-25 12:50:00,A1,23.08,61.17,0.2879,947.7,451.5,28.2,0.0,0
2025-08-25 13:00:00,A1,24.86,55.0,0.2852,953.7,449.5,28.45,0.0,0
2025-08-25 13:10:00,A1,23.73,52.75,0.2839,974.3,440.7,28.7,0.0,0
2025-08-25 13:20:00,A1,24.67,54.69,0.2824,942.9,449.0,28.96,0.0,0
2025-08-25 13:30:00,A1,25.87,59.42,0.2812,941.4,432.9,29.22,0.0,0
2025-08-25 13:40:00,A1,25.52,52.05,0.2962,965.6,453.0,29.48,1.715,1
2025-08-25 13:50:00,A1,25.09,56.35,0.2948,840.1,451.0,29.74,0.0,0
2025-08-25 14:00:00,A1,25.57,55.86,0.2929,914.5,454.1,30.0,0.0,0
2025-08-25 14:10:00,A1,26.67,50.83,0.2914,846.5,457.8,30.26,0.0,0
2025-08-25 14:20:00,A1,26.08,52.53,0.2896,792.2,452.5,30.52,0.0,0
2025-08-25 14:30:00,A1,26.91,54.13,0.2876,753.4,450.9,30.78,0.0,0
2025-08-25 14:40:00,A1,27.07,49.6,0.2864,760.4,442.8,31.04,0.0,0
2025-08-25 14:50:00,A1,26.91,49.46,0.2848,764.9,444.3,31.3,0.0,0
2025-08-25 15:00:00,A1,28.84,48.23,0.2838,703.3,459.5,31.55,0.0,0
2025-08-25 15:10:00,A1,28.18,46.91,0.2819,720.9,461.5,31.8,0.0,0
2025-08-25 15:20:00,A1,26.84,47.21,0.2804,599.3,448.0,32.05,0.0,0
2025-08-25 15:30:00,A1,28.41,45.65,0.2945,608.4,450.1,32.3,1.59,1
2025-08-25 15:40:00,A1,28.14,47.78,0.2925,536.0,442.3,32.54,0.0,0
2025-08-25 15:50:00,A1,29.28,45.81,0.2908,548.2,458.7,32.77,0.0,0
2025-08-25 16:00:00,A1,28.52,47.48,0.289,526.6,454.3,33.0,0.0,0
2025-08-25 16:10:00,A1,29.15,43.58,0.2873,449.1,464.1,33.22,0.0,0
2025-08-25 16:20:00,A1,29.74,47.07,0.2856,344.5,441.2,33.44,0.0,0
2025-08-25 16:30:00,A1,30.17,47.81,0.285,388.7,444.7,33.65,0.0,0
2025-08-25 16:40:00,A1,29.14,41.92,0.2833,355.1,449.0,33.86,0.0,0
2025-08-25 16:50:00,A1,29.85,46.44,0.2817,312.8,451.8,34.05,0.0,0
2025-08-25 17:00:00,A1,29.96,47.97,0.3044,295.9,444.3,34.24,2.453,1
2025-08-25 17:10:00,A1,30.03,42.94,0.3026,184.3,438.3,34.42,0.0,0
2025-08-25 17:20:00,A1,31.66,48.57,0.3009,194.1,451.6,34.6,0.0,0
2025-08-25 17:30:00,A1,31.0,45.97,0.3004,166.3,449.6,34.76,0.0,0
2025-08-25 17:40:00,A1,30.16,43.65,0.2994,33.8,435.7,34.91,0.0,0
2025-08-25 17:50:00,A1,31.61,44.9,0.2983,53.2,453.0,35.06,0.0,0
2025-08-25 18:00:00,A1,32.47,46.12,0.2973,-15.1,450.6,35.2,0.0,0
2025-08-25 18:10:00,A1,31.94,45.17,0.2969,-2.4,441.3,35.32,0.0,0
2025-08-25 18:20:00,A1,30.53,46.13,0.2954,10.4,439.9,35.44,0.0,0
2025-08-25 18:30:00,A1,31.25,43.29,0.2941,-14.6,442.7,35.54,0.0,0
2025-08-25 18:40:00,A1,32.4,45.57,0.293,-20.3,430.3,35.64,0.0,0
2025-08-25 18:50:00,A1,31.3,42.53,0.2911,1.0,436.4,35.72,0.0,0
2025-08-25 19:00:00,A1,32.06,45.29,0.2896,-32.6,417.8,35.8,0.0,0
2025-08-25 19:10:00,A1,32.32,43.89,0.289,-32.6,440.9,35.86,0.0,0
2025-08-25 19:20:00,A1,31.35,44.43,0.2883,20.4,420.2,35.91,0.0,0
2025-08-25 19:30:00,A1,31.91,48.61,0.2878,-34.5,443.5,35.95,0.0,0
2025-08-25 19:40:00,A1,30.03,48.59,0.2865,20.0,427.6,35.98,0.0,0
2025-08-25 19:50:00,A1,31.38,47.91,0.2852,13.9,427.3,35.99,0.0,0
2025-08-25 20:00:00,A1,31.85,44.82,0.2832,-51.8,422.7,36.0,0.0,0
2025-08-25 20:10:00,A1,31.25,46.72,0.2827,-20.3,424.2,35.99,0.0,0
2025-08-25 20:20:00,A1,32.96,50.14,0.2821,35.8,436.6,35.98,0.0,0
2025-08-25 20:30:00,A1,31.09,48.38,0.2816,-29.4,404.0,35.95,0.0,0
2025-08-25 20:40:00,A1,31.64,53.15,0.2813,-13.9,432.8,35.91,0.0,0
2025-08-25 20:50:00,A1,31.94,49.73,0.2805,13.9,424.0,35.86,0.0,0
2025-08-25 21:00:00,A1,32.66,49.78,0.2801,23.5,410.3,35.8,0.0,0
2025-08-25 21:10:00,A1,30.86,49.25,0.2956,-7.5,410.1,35.72,1.659,1
2025-08-25 21:20:00,A1,32.34,50.63,0.2936,-17.9,430.8,35.64,0.0,0
2025-08-25 21:30:00,A1,31.55,50.56,0.2926,42.7,408.5,35.54,0.0,0
2025-08-25 21:40:00,A1,30.85,52.81,0.292,52.2,405.6,35.44,0.0,0
2025-08-25 21:50:00,A1,31.6,53.85,0.291,29.4,422.6,35.32,0.0,0
2025-08-25 22:00:00,A1,31.32,50.93,0.2911,2.6,414.9,35.2,0.0,0
2025-08-25 22:10:00,A1,30.7,50.41,0.2891,-24.2,403.5,35.06,0.0,0
2025-08-25 22:20:00,A1,30.96,49.99,0.2881,-24.9,411.5,34.91,0.0,0
2025-08-25 22:30:00,A1,30.53,55.28,0.2871,15.7,400.3,34.76,0.0,0
2025-08-25 22:40:00,A1,30.66,52.66,0.2854,12.6,416.1,34.6,0.0,0
2025-08-25 22:50:00,A1,30.82,51.18,0.2837,42.0,414.6,34.42,0.0,0
2025-08-25 23:00:00,A1,31.19,56.89,0.2822,19.5,409.3,34.24,0.0,0
2025-08-25 23:10:00,A1,29.31,61.74,0.2807,-45.1,406.8,34.05,0.0,0
2025-08-25 23:20:00,A1,31.14,57.38,0.2796,31.6,416.9,33.86,0.0,0
2025-08-25 23:30:00,A1,28.48,59.72,0.2994,-29.9,401.7,33.65,2.052,1
2025-08-25 23:40:00,A1,29.35,58.86,0.2988,-11.5,391.3,33.44,0.0,0
2025-08-25 23:50:00,A1,29.58,59.15,0.2981,7.5,403.3,33.22,0.0,0
2025-08-26 00:00:00,A1,29.17,61.84,0.2974,59.9,415.5,33.0,0.0,0
2025-08-26 00:10:00,A1,28.4,60.07,0.2966,93.3,389.8,32.77,0.0,0
2025-08-26 00:20:00,A1,28.41,61.84,0.2952,18.2,394.1,32.54,0.0,0
2025-08-26 00:30:00,A1,28.0,62.6,0.2944,-5.5,399.5,32.3,0.0,0
2025-08-26 00:40:00,A1,27.7,61.27,0.2941,16.0,395.0,32.05,0.0,0
2025-08-26 00:50:00,A1,28.31,65.23,0.2928,26.6,386.8,31.8,0.0,0
